question,answer
What occurs when a cold air mass runs into a warm air mass?,a cold front
What element do plants use to store energy as atp?,oxygen
What is a dip slip fault where the dip of the fault plane is vertical?,strike-slip
How many different types of taste can be detected by taste buds?,five
An element symbol without a charge written next to it is assumed to be what?,uncharged atom
How do yeasts reproduce?,asexually
What do you call the lightless part of the ocean?,aphotic zone
Particulates from cigarette smoke that enter what structures can cause a permanent reduction in lung capacity?,alveoli
What term refers to the sequence of community and ecosystem changes after a disturbance?,ecological succession
What is the region in the center back of the eye that is responsible for acute vision?,fovea
What occurs when spores from two parents fuse and form a zygospore?,sexual reproduction
What do jellyfish give off to startle possible predators?,light
Mutations which benefit the organism in which they occur are known as?,beneficial mutations
How is a reaction described when the given conditions favor formation of products?,spontaneous
What do cells do in order to replace damaged or worn out cells?,divide
Amphibians may attract mates with what?,calls or scents
Which blood leaves the placenta through veins leading back to the fetus?,fetal
When is a moving car said to be in dynamic equilibrium?,zero net force
What color is the brittle metalloid tallurium?,silvery white
"In general, kinetic energy is the form of energy powering any type of matter in motion, while the energy of position is called what?",potential energy
What's another term for egg-laying mammals?,monotremes
What can water's high surface tension be attributed t?,polar molecules sticking together
"What is a thick, dark brown or black liquid found in rock layers of the earth's crust?",oil
"What global cycle takes place on, above, and below earth’s surface?",water cycle
"Which part of the earth is made of the rigid, brittle, solid crust and uppermost mantle?",lithosphere
"What is emitted by nuclei in alpha, beta, and gamma decay?",radiation
How many calories of energy does one gram of sugar or starch provide?,4
Rust is an example of the reaction of oxygen with what?,iron
Where does the small intestine begin?,stomach
What term describes the amount of material present in an object?,mass
What harmful light does ozone reduce in the upper atmospheres?,ultraviolet light
What term refers to the emission of material or energy from an atom's nucleus?,radioactivity
What evidence is there that mt. everest was once at the bottom of a sea?,fossils
